Timestamp,1. Age,2. Gender,3. Occupation,4. Which online food delivery application do you use most frequently?  ,5. How often do you order food online?  , 6. What is your approximate monthly spending on online food delivery services?  ,7. Which factor influences your choice of food delivery application the most?  ,  8. How important are discounts and promotional offers while choosing a food delivery application?  ,9. How important is delivery time while choosing a food delivery application?  , 10. Would you switch to another food delivery application if it offered better discounts?  ,11. Would you switch to another food delivery application for faster delivery service?  ,"12. According to you, which application provides better discounts and offers?  ","13. According to you, which application provides faster delivery service?  ","14.Overall, how satisfied are you with online food delivery services?  ",15. Any suggestions or feedback regarding online food delivery services? 
2026/05/06 7:35:08 pm GMT+5:30,18-21,Male,Student,Both Equally,Occasionally,₹1000 – ₹3000,Discounts and Offers,5,4,Yes,Yes,Both Equally,Both Equally,Neutral,Good but there is still scope of improvement 
2026/05/06 7:47:09 pm GMT+5:30,18-21,Male,Student,Zomato,Occasionally,₹1000 – ₹3000,Discounts and Offers,4,4,Yes,Yes,Swiggy,Zomato,Satisfied,yaa it is good but it makes people lazy also
2026/05/06 7:47:11 pm GMT+5:30,18-21,Female,Student,Zomato,Rarely,₹1000 – ₹3000,Discounts and Offers,1,1,Yes,Maybe,Zomato,Swiggy,Neutral,Food should be cheaper and affordable prices 
2026/05/06 7:51:37 pm GMT+5:30,26-30,Female,Working Professional,Zomato,Daily,Below ₹1000,no respond,1,2,No,Yes,Zomato,Zomato,Satisfied,I like it It makes a lot convenient for the people who work  
2026/05/06 7:55:52 pm GMT+5:30,18-21,Male,Student,Swiggy,Weekly,Below ₹1000,Discounts and Offers,5,4,Yes,Yes,Both Equally,Both Equally,Satisfied,Lower food prices 
2026/05/06 7:55:59 pm GMT+5:30,18-21,Male,Student,Zomato,Occasionally,Below ₹1000,Discounts and Offers,5,4,Maybe,Maybe,Zomato,Both Equally,Satisfied,no respond
2026/05/06 7:56:32 pm GMT+5:30,18-21,Male,Student,Zomato,Weekly,₹1000 – ₹3000,Restaurant Variety,5,5,Yes,Yes,Both Equally,Zomato,Satisfied,no respond
2026/05/06 7:57:25 pm GMT+5:30,Above 30,Male,Working Professional,Zomato,Rarely,Below ₹1000,Discounts and Offers,4,4,Yes,Yes,Both Equally,Zomato,Very satisfied,I love it it is very convincing for me and I have to do it 
2026/05/06 7:58:44 pm GMT+5:30,18-21,Male,Student,Zomato,Occasionally,₹1000 – ₹3000,Fast Delivery,5,5,Maybe,Maybe,Both Equally,Zomato,Neutral,Make it cheap
2026/05/06 8:00:14 pm GMT+5:30,18-21,Female,Student,Swiggy,Daily,Above ₹5000,Fast Delivery,5,3,Yes,Yes,Zomato,Swiggy,Satisfied,Food quality 
2026/05/06 8:01:19 pm GMT+5:30,18-21,Male,Student,Others,Rarely,Below ₹1000,Restaurant Variety,4,4,Maybe,Yes,Swiggy,Zomato,Neutral,It is good to have online food occasionally but we should avoiding eating foods from online 
2026/05/06 8:01:22 pm GMT+5:30,22-25,Male,Working Professional,Both Equally,Weekly,₹3000 – ₹5000,Fast Delivery,4,4,No,Yes,Swiggy,Swiggy,Satisfied,Better app
2026/05/06 8:02:01 pm GMT+5:30,Above 30,Female,Others,Zomato,Weekly,Below ₹1000,Fast Delivery,4,4,Maybe,Yes,Swiggy,Swiggy,Neutral,It is very good i love it.
2026/05/06 8:02:26 pm GMT+5:30,18-21,Male,Student,Swiggy,Occasionally,Below ₹1000,Discounts and Offers,4,4,Yes,Maybe,Both Equally,Both Equally,Satisfied,I think its good but not great
2026/05/06 8:03:26 pm GMT+5:30,18-21,Female,Student,Zomato,Weekly,₹1000 – ₹3000,User-Friendly App Interface,4,4,No,Yes,Zomato,Swiggy,Satisfied,They are good
2026/05/06 8:10:22 pm GMT+5:30,22-25,Male,Student,Zomato,Occasionally,Below ₹1000,Discounts and Offers,4,4,Yes,Yes,Zomato,Both Equally,Satisfied,no respond
2026/05/06 8:11:19 pm GMT+5:30,Above 30,Male,Working Professional,Both Equally,Rarely,₹1000 – ₹3000,Restaurant Variety,3,5,Maybe,Yes,Zomato,Zomato,Satisfied,no respond
2026/05/06 8:14:01 pm GMT+5:30,Above 30,Male,Others,Swiggy,Weekly,Below ₹1000,Fast Delivery,4,4,Yes,Yes,Zomato,Swiggy,Satisfied,no respond
2026/05/06 8:15:53 pm GMT+5:30,Above 30,Male,Working Professional,Both Equally,Weekly,Above ₹5000,Restaurant Variety,5,5,Yes,Yes,Both Equally,Both Equally,Satisfied,Best quality and improve timing 
2026/05/06 8:16:19 pm GMT+5:30,22-25,Male,Student,Others,Rarely,₹1000 – ₹3000,Discounts and Offers,5,4,Maybe,Maybe,Swiggy,Both Equally,Satisfied,no respond
2026/05/06 8:18:32 pm GMT+5:30,26-30,Female,Others,Zomato,Rarely,₹1000 – ₹3000,Discounts and Offers,5,5,Maybe,Maybe,Zomato,Zomato,Very satisfied,Best food best service
